formula,class,source,mp_id,e_above_hull,formation_e,is_stable,confidence,n_atoms_cell,sg,elements,ang_mom,predicted_phase,cif_filename
MnNiTiVW,hea,prototype,,,,,low,16,BCC_SQS,Mn;Ni;Ti;V;W,"{""Mn"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,MnNiTiVW_bcc.cif
AlMnNiTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Mn;Ni;Ti;V,"{""Al"": ""p"", ""Mn"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlMnNiTiV_bcc.cif
CuMnNbTiV,hea,prototype,,,,,low,16,BCC_SQS,Cu;Mn;Nb;Ti;V,"{""Cu"": ""d"", ""Mn"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CuMnNbTiV_bcc.cif
CuMnMoTiV,hea,prototype,,,,,medium,16,BCC_SQS,Cu;Mn;Mo;Ti;V,"{""Cu"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CuMnMoTiV_bcc.cif
CuMnTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Cu;Mn;Ta;Ti;V,"{""Cu"": ""d"", ""Mn"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CuMnTaTiV_bcc.cif
CuMnTiVW,hea,prototype,,,,,medium,16,BCC_SQS,Cu;Mn;Ti;V;W,"{""Cu"": ""d"", ""Mn"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,CuMnTiVW_bcc.cif
AlCuMnTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Cu;Mn;Ti;V,"{""Al"": ""p"", ""Cu"": ""d"", ""Mn"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlCuMnTiV_bcc.cif
MnMoNbTiV,hea,prototype,,,,,medium,16,BCC_SQS,Mn;Mo;Nb;Ti;V,"{""Mn"": ""d"", ""Mo"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,MnMoNbTiV_bcc.cif
MnNbTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Mn;Nb;Ta;Ti;V,"{""Mn"": ""d"", ""Nb"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,MnNbTaTiV_bcc.cif
MnNbTiVW,hea,prototype,,,,,medium,16,BCC_SQS,Mn;Nb;Ti;V;W,"{""Mn"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,MnNbTiVW_bcc.cif
AlMnNbTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Mn;Nb;Ti;V,"{""Al"": ""p"", ""Mn"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlMnNbTiV_bcc.cif
MnMoTaTiV,hea,prototype,,,,,medium,16,BCC_SQS,Mn;Mo;Ta;Ti;V,"{""Mn"": ""d"", ""Mo"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,MnMoTaTiV_bcc.cif
MnMoTiVW,hea,prototype,,,,,medium,16,BCC_SQS,Mn;Mo;Ti;V;W,"{""Mn"": ""d"", ""Mo"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,MnMoTiVW_bcc.cif
AlMnMoTiV,hea,prototype,,,,,medium,16,BCC_SQS,Al;Mn;Mo;Ti;V,"{""Al"": ""p"", ""Mn"": ""d"", ""Mo"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlMnMoTiV_bcc.cif
MnTaTiVW,hea,prototype,,,,,medium,16,BCC_SQS,Mn;Ta;Ti;V;W,"{""Mn"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,MnTaTiVW_bcc.cif
AlMnTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Mn;Ta;Ti;V,"{""Al"": ""p"", ""Mn"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlMnTaTiV_bcc.cif
AlMnTiVW,hea,prototype,,,,,medium,16,BCC_SQS,Al;Mn;Ti;V;W,"{""Al"": ""p"", ""Mn"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,AlMnTiVW_bcc.cif
CoFeNiTiV,hea,prototype,,,,,low,16,BCC_SQS,Co;Fe;Ni;Ti;V,"{""Co"": ""d"", ""Fe"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CoFeNiTiV_bcc.cif
CoCuFeTiV,hea,prototype,,,,,low,16,BCC_SQS,Co;Cu;Fe;Ti;V,"{""Co"": ""d"", ""Cu"": ""d"", ""Fe"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CoCuFeTiV_bcc.cif
CoFeMoTiV,hea,prototype,,,,,low,16,BCC_SQS,Co;Fe;Mo;Ti;V,"{""Co"": ""d"", ""Fe"": ""d"", ""Mo"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CoFeMoTiV_bcc.cif
CoFeTiVW,hea,prototype,,,,,low,16,BCC_SQS,Co;Fe;Ti;V;W,"{""Co"": ""d"", ""Fe"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,CoFeTiVW_bcc.cif
AlCoFeTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Co;Fe;Ti;V,"{""Al"": ""p"", ""Co"": ""d"", ""Fe"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlCoFeTiV_bcc.cif
CuFeNiTiV,hea,prototype,,,,,low,16,BCC_SQS,Cu;Fe;Ni;Ti;V,"{""Cu"": ""d"", ""Fe"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CuFeNiTiV_bcc.cif
FeMoNiTiV,hea,prototype,,,,,low,16,BCC_SQS,Fe;Mo;Ni;Ti;V,"{""Fe"": ""d"", ""Mo"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,FeMoNiTiV_bcc.cif
FeNiTiVW,hea,prototype,,,,,low,16,BCC_SQS,Fe;Ni;Ti;V;W,"{""Fe"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,FeNiTiVW_bcc.cif
CuFeNbTiV,hea,prototype,,,,,low,16,BCC_SQS,Cu;Fe;Nb;Ti;V,"{""Cu"": ""d"", ""Fe"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CuFeNbTiV_bcc.cif
CuFeMoTiV,hea,prototype,,,,,low,16,BCC_SQS,Cu;Fe;Mo;Ti;V,"{""Cu"": ""d"", ""Fe"": ""d"", ""Mo"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CuFeMoTiV_bcc.cif
