formula,class,R,status,reason,n_atoms,energy_eV,energy_per_atom_eV,elapsed_sec
Cr2CoGa,heusler,6,passed,,59,-2275.706,-38.571288,135.0
Cr2CoAl,heusler,5,passed,,48,-1859.6126,-38.741929,328.4
Cr2CoSb,heusler,5,passed,,27,-1280.0462,-47.409119,7.0
Co2ZrAl,heusler,6,passed,,59,-3150.9372,-53.405715,705.7
Cr2CoGe,heusler,5,passed,,51,-2084.6,-40.87451,178.6
Co2ZrGe,heusler,6,passed,,58,-3283.7504,-56.616386,499.7
Cr2CoGe,heusler,6,passed,,65,-2887.1266,-44.417332,141.4
Cr2CoBi,heusler,5,passed,,45,-1903.9387,-42.309749,399.0
Cr2CoSi,heusler,5,passed,,33,-1261.6536,-38.231927,80.3
Cr2CoSn,heusler,5,passed,,30,-1194.0172,-39.800573,120.4
Cr2CoIn,heusler,5,passed,,27,-973.8788,-36.069585,233.3
Cr2FeAl,heusler,5,passed,,51,-1843.3205,-36.143539,253.8
Co2ZrSi,heusler,6,passed,,59,-3285.0449,-55.678727,748.3
Cr2FeBi,heusler,5,passed,,45,-1826.9452,-40.598782,245.0
Cr2CoAl,heusler,6,failed,timeout,82,,,900.0
Cr2FeGe,heusler,5,passed,,51,-1935.1143,-37.943418,146.0
Cr2FeIn,heusler,5,passed,,30,-975.0505,-32.501683,56.3
Cr2FeGa,heusler,5,passed,,34,-1124.0062,-33.059006,308.5
Cr2FeSb,heusler,5,passed,,27,-1209.0227,-44.778619,14.1
Cr2FeGe,heusler,6,passed,,65,-2669.7476,-41.07304,106.2
Cr2CoSi,heusler,6,passed,,58,-2359.9935,-40.689543,655.8
Cr2FeGa,heusler,6,passed,,61,-2388.2675,-39.151926,377.4
Cr2FeSn,heusler,5,passed,,27,-1043.3713,-38.643381,8.4
Cr2CoSb,heusler,6,passed,,59,-2550.8877,-43.235385,785.5
Cr2HfAl,heusler,5,passed,,27,-624.2169,-23.119144,16.7
Cr2FeSi,heusler,6,passed,,65,-2640.5328,-40.623582,111.8
Cr2FeIn,heusler,6,passed,,59,-2079.1613,-35.240022,205.0
Cr2FeSn,heusler,6,passed,,59,-2223.4648,-37.685844,83.8
Cr2HfGa,heusler,5,passed,,27,-645.0684,-23.891422,6.1
Cr2CoIn,heusler,6,passed,,59,-2250.004,-38.135661,940.3
Cr2HfGa,heusler,6,passed,,59,-1441.7263,-24.436039,74.4
Cr2HfGe,heusler,5,passed,,27,-806.6147,-29.874619,16.3
Cr2HfIn,heusler,5,passed,,27,-605.084,-22.410519,10.2
