formula,class,sg,a,n_atoms_cell,t_factor,mu_factor,vec,delta_percent,predicted_phase,confidence,elements,ang_mom
CrCuFeMnMo,hea,BCC_SQS,2.944,16,,,7.6,3.67,mixed,low,Cr;Cu;Fe;Mn;Mo,"{""Cr"": ""d"", ""Cu"": ""d"", ""Fe"": ""d"", ""Mn"": ""d"", ""Mo"": ""d""}"
CrCuFeMnTa,hea,BCC_SQS,2.974,16,,,7.4,5.75,mixed,low,Cr;Cu;Fe;Mn;Ta,"{""Cr"": ""d"", ""Cu"": ""d"", ""Fe"": ""d"", ""Mn"": ""d"", ""Ta"": ""d""}"
CrCuFeMnW,hea,BCC_SQS,2.946,16,,,7.6,3.67,mixed,low,Cr;Cu;Fe;Mn;W,"{""Cr"": ""d"", ""Cu"": ""d"", ""Fe"": ""d"", ""Mn"": ""d"", ""W"": ""d""}"
AlCrCuFeMn,hea,BCC_SQS,2.976,16,,,7.0,4.86,mixed,low,Al;Cr;Cu;Fe;Mn,"{""Al"": ""p"", ""Cr"": ""d"", ""Cu"": ""d"", ""Fe"": ""d"", ""Mn"": ""d""}"
CrFeMnMoNb,hea,BCC_SQS,3.014,16,,,6.4,5.96,bcc,low,Cr;Fe;Mn;Mo;Nb,"{""Cr"": ""d"", ""Fe"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Nb"": ""d""}"
CrFeMnNbW,hea,BCC_SQS,3.016,16,,,6.4,5.96,bcc,low,Cr;Fe;Mn;Nb;W,"{""Cr"": ""d"", ""Fe"": ""d"", ""Mn"": ""d"", ""Nb"": ""d"", ""W"": ""d""}"
AlCrFeMnNb,hea,BCC_SQS,3.046,16,,,5.8,6.45,bcc,low,Al;Cr;Fe;Mn;Nb,"{""Al"": ""p"", ""Cr"": ""d"", ""Fe"": ""d"", ""Mn"": ""d"", ""Nb"": ""d""}"
CrFeMnMoTa,hea,BCC_SQS,3.014,16,,,6.4,5.96,bcc,low,Cr;Fe;Mn;Mo;Ta,"{""Cr"": ""d"", ""Fe"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Ta"": ""d""}"
CrFeMnMoW,hea,BCC_SQS,2.986,16,,,6.6,4.49,bcc,medium,Cr;Fe;Mn;Mo;W,"{""Cr"": ""d"", ""Fe"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""W"": ""d""}"
AlCrFeMnMo,hea,BCC_SQS,3.016,16,,,6.0,5.28,bcc,medium,Al;Cr;Fe;Mn;Mo,"{""Al"": ""p"", ""Cr"": ""d"", ""Fe"": ""d"", ""Mn"": ""d"", ""Mo"": ""d""}"
