formula,class,source,status,reason,energy_eV,energy_per_atom_eV,a_initial,a_relaxed,n_atoms,volume_change_pct,confidence_update,elapsed_sec
KTaO3,perovskite,materials_project,passed,,-310.9335,-62.1867,3.9949,4.0821,5,6.69,high,3.3
KHfO3,perovskite,materials_project,passed,,-302.0533,-60.41066,4.178,4.2138,5,2.6,high,3.6
KCrF3,perovskite,materials_project,passed,,-783.878,-78.3878,5.8471,5.7597,10,5.7,high,30.5
KReO3,perovskite,materials_project,passed,,-324.3152,-64.86304,3.9391,4.0082,5,5.36,high,3.2
KMnF3,perovskite,materials_project,passed,,-1668.0638,-83.40319,6.722,6.4827,20,10.4,medium,31.7
KOsO3,perovskite,materials_project,passed,,-332.9643,-66.59286,3.9312,3.9978,5,5.17,high,3.4
RbVF3,perovskite,materials_project,passed,,-397.8708,-79.57416,4.1817,4.1817,5,0.0,high,1.0
KPtO3,perovskite,materials_project,passed,,-342.9418,-68.58836,4.0464,4.0043,5,3.09,high,3.9
RbVO3,perovskite,materials_project,passed,,-309.8331,-61.96662,3.9152,4.1545,5,19.48,medium,7.8
RbCrO3,perovskite,materials_project,passed,,-307.6195,-61.5239,3.9469,4.0466,5,7.77,high,7.6
NaIrO3,perovskite,materials_project,passed,,-693.3062,-69.33062,5.9208,6.1437,10,9.67,high,53.4
RbMnO3,perovskite,materials_project,passed,,-326.6849,-65.33698,4.0393,4.3729,5,26.88,low,9.7
RbMnF3,perovskite,materials_project,passed,,-416.3302,-83.26604,4.2325,4.1393,5,6.46,high,4.6
RbScCl3,perovskite,materials_project,passed,,-569.5127,-56.95127,6.8406,6.8661,10,1.34,high,15.5
RbFeO3,perovskite,materials_project,passed,,-337.0486,-67.40972,4.0454,4.2922,5,19.44,medium,7.2
RbFeF3,perovskite,materials_project,passed,,-427.807,-85.5614,4.2207,4.1739,5,3.29,high,7.0
RbCuF3,perovskite,materials_project,passed,,-424.4729,-84.89458,4.07,4.2169,5,11.23,medium,4.6
RbZnO3,perovskite,materials_project,passed,,-386.2548,-77.25096,4.1641,4.1164,5,3.4,high,4.3
RbNiO3,perovskite,materials_project,suspect,vol_41pct,-361.2521,-72.25042,4.0519,4.546,5,40.65,low,10.2
RbCuO3,perovskite,materials_project,passed,,-340.9581,-68.19162,4.0461,4.37,5,25.86,low,7.2
RbYO3,perovskite,materials_project,passed,,-290.9934,-58.19868,4.5431,4.5783,5,2.34,high,3.9
RbMoO3,perovskite,materials_project,passed,,-319.4581,-63.89162,4.0529,4.0851,5,2.4,high,3.3
KCuF3,perovskite,materials_project,passed,,-852.8256,-85.28256,5.6482,6.0551,10,20.57,low,46.8
RbRhO3,perovskite,materials_project,passed,,-334.0027,-66.80054,4.0427,4.059,5,1.21,high,2.7
RbRuO3,perovskite,materials_project,passed,,-324.3603,-64.87206,3.9786,4.0724,5,7.25,high,3.5
RbPdO3,perovskite,materials_project,passed,,-324.9999,-64.99998,4.1283,4.0612,5,4.8,high,3.7
RbPdF3,perovskite,materials_project,passed,,-410.7245,-82.1449,4.3457,4.3856,5,2.78,high,3.1
RbPdCl3,perovskite,materials_project,passed,,-313.0578,-62.61156,4.9477,5.0957,5,9.24,high,3.8
RbWO3,perovskite,materials_project,passed,,-316.888,-63.3776,4.0583,4.0952,5,2.75,high,3.2
RbReO3,perovskite,materials_project,passed,,-323.2956,-64.65912,3.9841,4.0958,5,8.65,high,3.3
KIrO3,perovskite,materials_project,passed,,-4150.2617,-69.171028,9.4873,9.626,60,4.45,high,40.7
RbOsO3,perovskite,materials_project,passed,,-331.9693,-66.39386,3.9741,4.0894,5,8.96,high,6.1
RbNbO3,perovskite,materials_project,passed,,-1240.1076,-62.00538,7.1282,7.2425,20,3.85,high,19.4
RbIrO3,perovskite,materials_project,passed,,-343.7783,-68.75566,4.0092,4.089,5,6.09,high,5.5
RbPtO3,perovskite,materials_project,passed,,-342.0192,-68.40384,4.1051,4.0932,5,0.86,high,6.8
CsPdF3,perovskite,materials_project,suspect,vol_84pct,-408.5617,-81.71234,4.4143,5.4228,5,83.98,low,10.3
NaZnO3,perovskite,materials_project,passed,,-3116.0268,-77.90067,9.7177,9.7814,40,4.12,high,123.8
RbZnF3,perovskite,materials_project,passed,,-2884.3468,-96.144893,8.73,8.9858,30,9.92,high,34.1
CaScO3,perovskite,materials_project,passed,,-297.5948,-59.51896,4.0847,4.1947,5,8.03,high,9.5
